,ell,Cl
2432,2432,1.8847581990612756e-09
2433,2433,2.103071548621668e-09
2434,2434,2.123645818955012e-09
2435,2435,1.926690927892739e-09
2436,2436,2.019311838121616e-09
2437,2437,2.0196574898215377e-09
2438,2438,2.05582381968863e-09
2439,2439,2.027753749979038e-09
2440,2440,1.865991333239391e-09
2441,2441,2.0488057518790483e-09
2442,2442,1.919095091388038e-09
2443,2443,1.975938458545213e-09
2444,2444,1.960122950614655e-09
2445,2445,2.028831797503277e-09
2446,2446,1.948463896484039e-09
2447,2447,2.0495902548539134e-09
2448,2448,2.0700960116439854e-09
2449,2449,1.977361929455833e-09
2450,2450,2.0531328621149886e-09
2451,2451,1.9259297727530823e-09
2452,2452,2.089930885507289e-09
2453,2453,2.044620018302168e-09
2454,2454,1.999420352470585e-09
2455,2455,1.9786661334389046e-09
2456,2456,2.0737294288627972e-09
2457,2457,1.9543066061229747e-09
2458,2458,1.892913741464108e-09
2459,2459,1.962123977067364e-09
2460,2460,2.0312046320532396e-09
2461,2461,1.922694280560443e-09
2462,2462,1.8123136736888516e-09
2463,2463,2.0294921818815484e-09
2464,2464,1.9659771545564568e-09
2465,2465,1.9578853582227687e-09
2466,2466,2.0386630090185163e-09
2467,2467,1.9739045895383976e-09
2468,2468,1.8721932628028986e-09
2469,2469,1.96819902512935e-09
2470,2470,1.907928419966105e-09
2471,2471,2.0225185825315656e-09
2472,2472,1.8130547404073725e-09
2473,2473,2.0205276589828377e-09
2474,2474,1.9466200798689254e-09
2475,2475,1.9267391172513182e-09
2476,2476,1.9918806184366355e-09
2477,2477,1.859774900601289e-09
2478,2478,1.9518232676396086e-09
2479,2479,1.9654722782620973e-09
2480,2480,1.9352799034385145e-09
2481,2481,1.8815783260540096e-09
2482,2482,1.9052246142295377e-09
2483,2483,2.045156495161541e-09
2484,2484,2.082516682368366e-09
2485,2485,1.9279836413191098e-09
2486,2486,1.998615045042712e-09
2487,2487,1.974851907666936e-09
2488,2488,2.0043870314066473e-09
2489,2489,1.9048725568302833e-09
2490,2490,1.9479323680498017e-09
2491,2491,1.8136078934206681e-09
2492,2492,1.855950075363055e-09
2493,2493,1.9761101607178894e-09
2494,2494,1.9421539885404904e-09
2495,2495,1.922155903661867e-09
2496,2496,2.039573782567774e-09
2497,2497,1.99364384150142e-09
2498,2498,1.931923281780362e-09
2499,2499,1.7591861405492402e-09
2500,2500,1.8038111711530623e-09
2501,2501,1.8208630314139525e-09
2502,2502,1.840661775065093e-09
2503,2503,1.8848938103110434e-09
2504,2504,1.894144477769206e-09
2505,2505,1.934846355073543e-09
2506,2506,1.9231811925507224e-09
2507,2507,1.8799888004708484e-09
2508,2508,1.8791151796503616e-09
2509,2509,1.7673629022784166e-09
2510,2510,1.946894183078265e-09
2511,2511,2.0862914149258636e-09
2512,2512,1.818923032310735e-09
2513,2513,1.7780227750475905e-09
2514,2514,1.9978201894503842e-09
2515,2515,1.7140223020310505e-09
2516,2516,1.8213012610175946e-09
2517,2517,1.8857230790276327e-09
2518,2518,2.0798570860854955e-09
2519,2519,1.897070151057839e-09
2520,2520,1.8184589397961692e-09
2521,2521,1.739915277990266e-09
2522,2522,1.87155378858459e-09
2523,2523,1.9095276111129385e-09
2524,2524,1.833585937020023e-09
2525,2525,1.7671319935997772e-09
2526,2526,1.8333919798569835e-09
2527,2527,1.8961244808665655e-09
2528,2528,1.8074769991144437e-09
2529,2529,1.7140467065945352e-09
2530,2530,1.9323263332936484e-09
2531,2531,1.80008687423967e-09
2532,2532,2.0352834544756475e-09
2533,2533,1.926448144384534e-09
2534,2534,2.016299276941774e-09
2535,2535,1.9648088938728503e-09
2536,2536,2.02415652466395e-09
2537,2537,1.78625056100842e-09
2538,2538,1.9350529122312326e-09
2539,2539,1.8850500106405195e-09
2540,2540,1.909638648025842e-09
2541,2541,1.7065474584912064e-09
2542,2542,1.837176279867797e-09
2543,2543,1.7824785295498135e-09
2544,2544,1.9174513573458856e-09
2545,2545,1.8620190978649543e-09
2546,2546,1.8390934877262945e-09
2547,2547,1.8556350288378222e-09
2548,2548,1.7604893517366773e-09
2549,2549,1.8583361694177568e-09
2550,2550,1.7331112983225369e-09
2551,2551,1.7534886072700797e-09
2552,2552,1.8544066372566234e-09
2553,2553,1.8584640415022462e-09
2554,2554,1.873211049929062e-09
2555,2555,1.7577136955943067e-09
2556,2556,1.9421003545281143e-09
2557,2557,2.0068125577856018e-09
2558,2558,1.8076475053315656e-09
2559,2559,1.7362852735456797e-09
2560,2560,2.003169110723593e-09
2561,2561,1.8214560777333824e-09
2562,2562,2.0089916014113804e-09
2563,2563,1.7448790476655952e-09
2564,2564,1.884545235750756e-09
2565,2565,1.9246213791113043e-09
2566,2566,1.7734049347771237e-09
2567,2567,1.724494555895272e-09
2568,2568,1.8826952563395555e-09
2569,2569,1.8600960562998413e-09
2570,2570,1.7371655963699094e-09
2571,2571,1.8468354065746246e-09
2572,2572,1.8644738224702214e-09
2573,2573,1.826459828608992e-09
2574,2574,1.8796928986832106e-09
2575,2575,1.891009855673038e-09
2576,2576,1.862065374585754e-09
2577,2577,1.8336299449489008e-09
2578,2578,1.8481930062250334e-09
2579,2579,1.826109148917489e-09
2580,2580,1.8931871894964685e-09
2581,2581,1.83559537526809e-09
2582,2582,1.7933257228487594e-09
2583,2583,1.617023567761814e-09
2584,2584,1.949681834049784e-09
2585,2585,1.8826283418346016e-09
2586,2586,1.8169331895515903e-09
2587,2587,1.774451942305508e-09
2588,2588,1.9827933186846176e-09
2589,2589,1.7075889519785074e-09
2590,2590,1.891230123656821e-09
2591,2591,1.7028984548571778e-09
2592,2592,1.7707250600545543e-09
2593,2593,1.753443621756363e-09
2594,2594,1.7470433021667843e-09
2595,2595,1.738407841728244e-09
2596,2596,1.7346441585053087e-09
2597,2597,1.8157627785079617e-09
2598,2598,1.9151052186308625e-09
2599,2599,1.7557770251527765e-09
2600,2600,1.8508444894440742e-09
2601,2601,1.6578682402272247e-09
2602,2602,1.86184525836343e-09
2603,2603,1.8165478845783386e-09
2604,2604,1.8025072113676476e-09
2605,2605,1.7256167147746438e-09
2606,2606,1.8359798378541781e-09
2607,2607,1.8060246480764063e-09
2608,2608,1.705806165239069e-09
2609,2609,1.76960367092102e-09
2610,2610,1.7283357203664102e-09
2611,2611,1.7473426767373482e-09
2612,2612,1.8726090344360474e-09
2613,2613,1.6587106291933712e-09
2614,2614,1.7038125233634853e-09
2615,2615,1.841718590089032e-09
2616,2616,1.7301618185173122e-09
2617,2617,1.8361932809216657e-09
2618,2618,1.7902990668386999e-09
2619,2619,1.787048149188805e-09
2620,2620,1.7169448062004428e-09
2621,2621,1.728819657042391e-09
2622,2622,1.820677199546526e-09
2623,2623,1.7781973212911948e-09
2624,2624,1.8465472956752884e-09
2625,2625,1.717193618699573e-09
2626,2626,1.7379655231917774e-09
2627,2627,1.7139464613152412e-09
2628,2628,1.7376034196290107e-09
2629,2629,1.8710149822710115e-09
2630,2630,1.770326304802095e-09
2631,2631,1.7858760899779457e-09
2632,2632,1.716641226174844e-09
2633,2633,1.7499566785483023e-09
2634,2634,1.7442008376153353e-09
2635,2635,1.6861579557693321e-09
2636,2636,1.8301756272654573e-09
2637,2637,1.7389651369436924e-09
2638,2638,1.818345044451038e-09
2639,2639,1.7874544472164175e-09
2640,2640,1.800934823638276e-09
2641,2641,1.6888580708236671e-09
2642,2642,1.667988938440734e-09
2643,2643,1.7866107011346866e-09
2644,2644,1.8099692246279042e-09
2645,2645,1.6900815923061532e-09
2646,2646,1.698031322443117e-09
2647,2647,1.7153837589259247e-09
2648,2648,1.7603795564346137e-09
2649,2649,1.626298515056711e-09
2650,2650,1.6251922206849025e-09
2651,2651,1.6360107784554821e-09
2652,2652,1.7972978114310305e-09
2653,2653,1.671246494285524e-09
2654,2654,1.7251749864212937e-09
2655,2655,1.5924381785090436e-09
2656,2656,1.814042076594407e-09
2657,2657,1.6587426778824256e-09
2658,2658,1.7122616058322447e-09
2659,2659,1.6342842692217598e-09
2660,2660,1.8241862354688064e-09
2661,2661,1.615223678892746e-09
2662,2662,1.7090518686003493e-09
2663,2663,1.7956211034245592e-09
2664,2664,1.851231984687139e-09
2665,2665,1.6366307128812688e-09
2666,2666,1.5653514802696896e-09
2667,2667,1.6226074323861712e-09
2668,2668,1.6627057935746114e-09
2669,2669,1.6318208466675636e-09
2670,2670,1.6278734387093425e-09
2671,2671,1.6903031991093726e-09
2672,2672,1.7871638867662574e-09
2673,2673,1.875962787981675e-09
2674,2674,1.6537616634933389e-09
2675,2675,1.7484262965862562e-09
2676,2676,1.689530756956691e-09
2677,2677,1.7144465658384343e-09
2678,2678,1.679796114526524e-09
2679,2679,1.7341753074623241e-09
2680,2680,1.6598700630304058e-09
2681,2681,1.612025712948467e-09
2682,2682,1.7124534557618195e-09
2683,2683,1.7045208434804564e-09
2684,2684,1.749450491416219e-09
