ell,kap_cl
2523,2.319004237383556e-09
2524,2.2558232811992555e-09
2525,2.3393224963486843e-09
2526,2.2580192159847754e-09
2527,2.2464614073043044e-09
2528,2.271569381670472e-09
2529,2.319581004218952e-09
2530,2.279332553682788e-09
2531,2.2242521663678483e-09
2532,2.2581173848062825e-09
2533,2.340275842960728e-09
2534,2.2311224531662753e-09
2535,2.3291458439577656e-09
2536,2.3113117392693615e-09
2537,2.285618031923969e-09
2538,2.2440122666968374e-09
2539,2.275597989437934e-09
2540,2.204257805018404e-09
2541,2.3259716180842226e-09
2542,2.2423118558651494e-09
2543,2.2857728726733996e-09
2544,2.308148591453484e-09
2545,2.191007958383408e-09
2546,2.3041341656588e-09
2547,2.2571556585275546e-09
2548,2.2786143402618884e-09
2549,2.2561934260601462e-09
2550,2.3334980158809885e-09
2551,2.2871572849739264e-09
2552,2.342198200154574e-09
2553,2.193108223413568e-09
2554,2.2503647127141018e-09
2555,2.2221080664931527e-09
2556,2.280310358983466e-09
2557,2.274643635379478e-09
2558,2.321356351632603e-09
2559,2.2550441395576903e-09
2560,2.2599072212427536e-09
2561,2.2766455608080877e-09
2562,2.2732280704030474e-09
2563,2.1819739863812183e-09
2564,2.3124407628517544e-09
2565,2.233739012773812e-09
2566,2.3098970939098124e-09
2567,2.2279636616495615e-09
2568,2.2154946019453447e-09
2569,2.2869038685666462e-09
2570,2.3685248306705298e-09
2571,2.1951998708307243e-09
2572,2.2250689314672088e-09
2573,2.234888842227587e-09
2574,2.2183876132827495e-09
2575,2.25481582889864e-09
2576,2.209901511256357e-09
2577,2.247434119642388e-09
2578,2.2548995124377503e-09
2579,2.3024232014196344e-09
2580,2.284402943756934e-09
2581,2.2459110426040587e-09
2582,2.32134954726155e-09
2583,2.2047508977798515e-09
2584,2.156883447700204e-09
2585,2.2350645893962346e-09
2586,2.1891810558810006e-09
2587,2.1692050620342788e-09
2588,2.264824616288544e-09
2589,2.2256450900606124e-09
2590,2.1817668380743368e-09
2591,2.2263227688944896e-09
2592,2.277069442495509e-09
2593,2.203701907439454e-09
2594,2.2445120850652863e-09
2595,2.1863508890555653e-09
2596,2.1993747511591727e-09
2597,2.269563128125564e-09
2598,2.2472442962291916e-09
2599,2.1662010225302676e-09
2600,2.209785637840419e-09
2601,2.1927217217979636e-09
2602,2.1388765577644207e-09
